name,companyType,employeeCountRange,foundedYear,industries,numFollowers,specialities,squareLogoUrl,websiteUrl,group
University College Dublin,Educational,1001-5000,1854,Higher Education,more than 1000,"higher education, research, innovation and impact",https://media.licdn.com/dms/image/C560BAQHmljJ9tD3olA/company-logo_200_200/0?e=2132524800&v=beta&t=Syfw47xrA9rEXxc5zB4g-32wV0vjqFYTI3n4dFuq5NA,http://www.ucd.ie/,education
Trinity College Dublin,Educational,1001-5000,1592,Higher Education,more than 1000,"education, research, innovation",https://media.licdn.com/dms/image/C4D0BAQFZhYD42d5d5g/company-logo_200_200/0?e=2132524800&v=beta&t=gCPZed51ZpbA9vPzFATvE3wHbfI54c9OlHdHKn2uY6M,http://www.tcd.ie/,education
Dublin Institute Of Technology,Educational,1001-5000,Undisclosed,Higher Education,more than 1000,"undergraduate degree, postgraduate degree, part-time programmes",https://media.licdn.com/dms/image/C4D0BAQGLIz1KI0XGtA/company-logo_200_200/0?e=2132524800&v=beta&t=QNqKsfntaSGoN1jl38ggGD9_NYuqJ0BExqwx7ynREIE,http://www.dit.ie/,education
University College Cork,Educational,10001+,1845,Higher Education,more than 1000,"education, research",https://media.licdn.com/dms/image/C560BAQHPKzWbkHSJgQ/company-logo_200_200/0?e=2132524800&v=beta&t=b4qdxSxO4QskfQdV5XarVnj3Z5L39YcvyihkbtDjmjs,http://www.ucc.ie/,education
Dublin City University,Educational,1001-5000,1980,Higher Education,more than 1000,"research, university of enterprise, undergraduate programmes",https://media.licdn.com/dms/image/C560BAQGoVx962-SnPg/company-logo_200_200/0?e=2132524800&v=beta&t=FE-XOE3TdnT81ymRZH6rGazoauIV3kvhyPFp43w8_JE,http://www.dcu.ie/,education
"National University Of Ireland, Galway",Educational,1001-5000,1845,Higher Education,more than 1000,"third-level education, community outreach, research excellence",https://media.licdn.com/dms/image/C4E0BAQEhAHmih-Te-Q/company-logo_200_200/0?e=2132524800&v=beta&t=YtLq7OuSEYLfkxphiQbQ1EDhIufObC7ptv-GY4cTOVs,http://www.nuigalway.ie/,education
University Of Limerick,Educational,1001-5000,1972,Higher Education,more than 1000,"training, research, education",https://media.licdn.com/dms/image/C560BAQE2HnKwxFcOZA/company-logo_200_200/0?e=2132524800&v=beta&t=lKPYkW9av8_ARLBdYVYDOqZWObTadfphgmjB_9vKjbc,http://www.ul.ie/,education
Digital Marketing Institute,Privately Held,51-200,2008,Higher Education,more than 1000,"digital marketing, online marketing, digital marketing postgraduate courses",https://media.licdn.com/dms/image/C4D0BAQEZxlhO24WwIw/company-logo_200_200/0?e=2132524800&v=beta&t=dgE_O7lpyWXS_YGOvdgXYhjVJ5p_4cJg79VBumJ9-60,http://www.digitalmarketinginstitute.com,education
Cork Institute Of Technology,Educational,1001-5000,1973,Higher Education,more than 1000,higher education,https://media.licdn.com/dms/image/C4D0BAQE0lxvPfmnw2A/company-logo_200_200/0?e=2132524800&v=beta&t=Oa7ktRH2oyFEkStJudkvZ_LYXIwlDGumx4VZILWtLf4,http://www.cit.ie/,education
Dublin Business School,Educational,51-200,Undisclosed,Education Management,more than 1000,not specified,https://media.licdn.com/dms/image/C4D0BAQGycCeMm3vScg/company-logo_200_200/0?e=2132524800&v=beta&t=8yj3udjly1dnfH2H1kY4iuriNUAHQjuYZBvcazcsrnA,http://www.dbs.ie/,education
