name,companyType,employeeCountRange,foundedYear,industries,numFollowers,specialties,squareLogoUrl,websiteUrl,group
Bank of Ireland,Public Company,10001+,Undisclosed,Banking,more than 1000,"Retail Banking,Business Banking,Corporate Banking,Mortgages",https://media.licdn.com/dms/image/C510BAQFRNRnff-bZ5A/company-logo_200_200/0?e=2132524800&v=beta&t=4Ps1bcjN-5edpq4rfC5LpGZGmMsRM5wRE5vlu6RxE54,http://www.bankofireland.com,Financial
AIB,Public Company,10001+,Undisclosed,Banking,more than 1000,"Retail Banking,Business Banking,Mortgages,Insurance",https://media.licdn.com/dms/image/C4D0BAQEpakedYDT9rw/company-logo_200_200/0?e=2132524800&v=beta&t=3whjhVO0jsmcYTtVAYn8MFBsGp-JRDspeOdnLfC_uTw,personal.aib.ie,Financial
Central Bank of Ireland,Government Agency,1001-5000,1943,Banking,more than 1000,"Monetary Policy & Operations,Financial Regulation,Financial Stability,Consumer Protection,Economic Policy & Statistics,Payments Systems & Currency",https://media.licdn.com/dms/image/C560BAQE_FlTVRmxydA/company-logo_200_200/0?e=2132524800&v=beta&t=Y6M1jhEnjm7gG-Qm0cqwHAftbyTaD2zhwIluCpYbK_Q,centralbank.ie,Financial
Ulster Bank,Public Company,5001-10000,1836,Banking,more than 1000,"Personal Banking,Business Banking,Private Banking,Corporate Banking,Mobile Banking,Online Banking",https://media.licdn.com/dms/image/C4D0BAQH_SIP_ngJKbQ/company-logo_200_200/0?e=2132524800&v=beta&t=McQJWto_FeQBjCDOMB093MtWpjUG9lmJarA4QUzeoJU,http://www.ulsterbank.com,Financial
KPMG Ireland,Partnership,1001-5000,Undisclosed,Accounting,more than 1000,"Audit,Tax,Advisory",https://media.licdn.com/dms/image/C4D0BAQHDXO2_XoAvjw/company-logo_200_200/0?e=2132524800&v=beta&t=yJVZct-8m7L0mPVnQZsEGledwpkVFVMjbZ4a4xQz-UE,www.kpmg.ie,Financial
Zurich Insurance plc,Public Company,1001-5000,1872,Insurance,more than 1000,"Commercial Insurance,Car Insurance,Home Insurance,Professional Indemnity,Public Liability,Business Interuption,Van Insurance,Business Insurance,Office Insurance,Building Insurance,Marine Insurance,Construction Insurance,Retail Insurance,Farm Insurance",https://media.licdn.com/dms/image/C560BAQEpctXjjTuRpw/company-logo_200_200/0?e=2132524800&v=beta&t=rQEUuOOcN-MW3wpjMomkGp6eeVr7ayfrQ3M3hC0JMWc,http://www.zurich.ie,Financial
PwC Ireland,Partnership,1001-5000,Undisclosed,Accounting,more than 1000,"Audit & Assurance,Consulting,Deals,Private Business Services,Human Resource Services,Taxation,Cyber Security,Data & Analytics,Technology,Managment Consulting,Digital,Deals,People and organisation,Tax,Retail and consumer,Brexit,Technology, Media and Telecommunications,Food and agri-business,Aviation finance,finance",https://media.licdn.com/dms/image/C4E0BAQG9wBPDBYbKCw/company-logo_200_200/0?e=2132524800&v=beta&t=liwdHj4hTHi0cwx--tZWjIWHF2V6RN5C6hJdfFP8Sms,www.pwc.ie,Financial
Chartered Accountants Ireland,Educational,51-200,1888,Accounting,more than 1000,"Chartered Accountancy,Training, Education and Life Long Learning,Professional Networking,Flexible route,Chartered Tax Consultant,Post Graduate Diplomas,Conferencing Facilities,Books and Thought Leadership",https://media.licdn.com/dms/image/C4D0BAQFJG2g_87rRrg/company-logo_200_200/0?e=2132524800&v=beta&t=Zi3Ag55bcKrCdt_FWKE6xXKiBC1jxoCnoopomO1ALiI,http://www.charteredaccountants.ie/,Financial
Grant Thornton Ireland,Partnership,1001-5000,Undisclosed,Accounting,more than 1000,"Accounting,Audit,Tax,Corporate Finance,Recovery and Reorganisation,Forensic and Investigation Services,Business Risk Services,Corporate Secretarial Services,Business Consulting,Financial Planning,Outsourcing,Cyber Security,Financial Services Advisory",https://media.licdn.com/dms/image/C510BAQGTQ9THJvX3bA/company-logo_200_200/0?e=2132524800&v=beta&t=cyEuNx6y8uNvTbwFllOTmyaEy8RlrYewiVKyefGS7dc,www.grantthornton.ie,Financial
permanent tsb,Public Company,1001-5000,1884,Banking,more than 1000,"Consumer Banking,Business Banking,Home, Life & Travel Insurance,Savings & Investments,Current Accounts,Mortgages,Term Loans,Credit Cards",https://media.licdn.com/dms/image/C4D0BAQEGzIzihuuVzg/company-logo_200_200/0?e=2132524800&v=beta&t=oA_hY38XLkMDfB8oLUt4C1YZWluFzzmqUsfrqvmI3YE,www.permanenttsb.ie,Financial
KBC Bank Ireland,Public Company,1001-5000,1973,Financial Services,more than 1000,"Personal Banking,Mortgages,Current Account,Savings Options,Workplace Banking,Business Banking",https://media.licdn.com/dms/image/C4D0BAQHn1Mgd6UH6Zg/company-logo_200_200/0?e=2132524800&v=beta&t=fZzP_WQGIjUBztZ3Zlz_2Y-FR03U6SG2XNJIMtiEItU,www.kbc.ie,Financial
Allianz Care,Public Company,10001+,2000,Insurance,more than 1000,"International Medical Health Insurance,Expat Health Insurance,Life and Disability Insurance,Corporate Assistance",https://media.licdn.com/dms/image/C4D0BAQGRlsBs9vWRiw/company-logo_200_200/0?e=2132524800&v=beta&t=sEZsq1nJIXU3xpWJf8Am2N6KLaUDfZGjgoYWvJKSNC4,http://www.allianz-care.com,Financial
Fenergo,Privately Held,501-1000,2009,Financial Services,more than 1000,"Client Onboarding software,Legal entity data management,Customer Due Diligence (CDD ),Know Your Customer (KYC),Product Onboarding,FATCA,Ongoing Due Diligence (ODD) solutions",https://media.licdn.com/dms/image/C560BAQFOczAQ1GUK4g/company-logo_200_200/0?e=2132524800&v=beta&t=DqKAeAt0cxTcQl9sSPlOvpWrbiuUeWzWy3SiL2_oAn8,www.fenergo.com,Financial
Institute of Certified Public Accountants in Ireland (CPA Ireland),Educational,11-50,1943,Financial Services,more than 1000,"Professional Accountancy Body,Regulation,Accountancy,Advocacy,Education",https://media.licdn.com/dms/image/C560BAQGg98u8gsWfPA/company-logo_200_200/0?e=2132524800&v=beta&t=C0LQBCn4JpUadIQeVF11z5BOUaO6wIMCjLvPqgIH0dc,www.cpaireland.ie,Financial
CR2,Privately Held,201-500,1997,Financial Services,more than 1000,"Self-service banking software,ATM management solution,Internet banking software,Mobile banking software,Kiosk banking software,Mobile banking app,P2P banking software,Card management solution,Omnichannel Banking,Digital Banking Platform,Omnichannel Digital Banking Platform,ATM,Agency Banking,Digital Banking,Mobile Banking,Banking Software,Payments,Smart ATMs",https://media.licdn.com/dms/image/C560BAQHW2CH-lYdlFA/company-logo_200_200/0?e=2132524800&v=beta&t=-LgJa3RxIXi8yp5MDcjWX_1rkDQsQTC-lsWK6Y4k_pc,http://www.cr2.com,Financial
Davy,Privately Held,501-1000,Undisclosed,Financial Services,more than 1000,"Capital Markets,Corporate Finance,Private Clients,Research,Asset Management,Pensions,Personal Investment,Online Trading",https://media.licdn.com/dms/image/C560BAQH6IkdFgEm3hw/company-logo_200_200/0?e=2132524800&v=beta&t=l9TpwoylMVw0hZOzStkUfm_kcvCE1oHoiP118oc-Vw0,http://www.davy.ie,Financial
Fexco,Privately Held,1001-5000,1981,Financial Services,more than 1000,"Dynamic Currency Conversion,Retail Foreign Exchange,Multi-Currency Pricing,Expense Management Services,Tax Refunds,Global Payment Solutions,Asset Finance,International Money Transfer,Business Foreign Exchange",https://media.licdn.com/dms/image/C4D0BAQHAGdNaY6-skw/company-logo_200_200/0?e=2132524800&v=beta&t=N4k5RxW3lgAdGuOwYRkIv7beyP3H9NhK2xdcYFCOTc8,https://fexco.com,Financial
Pramerica,Public Company,1001-5000,2000,Financial Services,more than 1000,"Software Development,Program Management,Financial Services,Agile Coaching,Legal & Compliance,Actuary,Infrastructure,DevOps,Analysis & Design,Process Engineering,Data Science,Professional Business Services",https://media.licdn.com/dms/image/C4E0BAQEdIlkqLGFDVg/company-logo_200_200/0?e=2132524800&v=beta&t=YaFHSgulztc4Hywa7AjgW4WW1E27V5NHD9m8DdQJnyA,www.pramerica.ie,Financial
Zurich Ireland,Public Company,501-1000,Undisclosed,Insurance,more than 1000,"Pensions,Savings & Investments,Life/Protection,Funds,Home Insurance,Motor Insurance,Farm Insurance,Business Insurance,Travel Insurance",https://media.licdn.com/dms/image/C560BAQGe4rO4L2veKA/company-logo_200_200/0?e=2132524800&v=beta&t=-joY4fyAwxut-K9cCi6_uJZF6urUUpKuYcv2ufoaXTg,www.zurichlife.ie,Financial
FBD Insurance,Public Company,501-1000,Undisclosed,Insurance,more than 1000,"Farm Insurance,Business Insurance,Car Insurance,Home Insurance,Travel Insurance,Van Insurance,Commercial ,Renters Contents",https://media.licdn.com/dms/image/C4D0BAQFnbYwX6DsYOg/company-logo_200_200/0?e=2132524800&v=beta&t=lvXX507vkYO97TWcdl7w0byMXhpV4we2ieL-8GH63oU,www.fbd.ie,Financial
Irish Life,Public Company,1001-5000,1939,Insurance,more than 1000,"Pensions,Life Insurance,Investments",https://media.licdn.com/dms/image/C560BAQEK6z5bl34oIQ/company-logo_200_200/0?e=2132524800&v=beta&t=m3URQ0kvigz0k-EHcHN0gFPR8LT1fmW3tUnidm02Urk,http://www.irishlife.ie,Financial
BDO Ireland,Partnership,201-500,1982,Accounting,more than 1000,"Audit,Tax,Advisory,Corporate Finance,Outsourcing,Corporate Recovery,Customs",https://media.licdn.com/dms/image/C510BAQHkotZqF-9IGQ/company-logo_200_200/0?e=2132524800&v=beta&t=dkOJuszpkadULnYsI21gLEJ9qW6aBsHttaf_dI2hpjU,www.bdo.ie,Financial
Investec (Ireland),Public Company,201-500,Undisclosed,Banking,more than 1000,"Treasury Solutions,Wealth & Investment,Corporate Finance,Venture Capital",https://media.licdn.com/dms/image/C510BAQGLiQuHbr3jJQ/company-logo_200_200/0?e=2132524800&v=beta&t=byjP2rDtcWPuE9_aNQW_YeFYK1QPljXIeSGP8sb5ZGQ,www.investec.ie,Financial
Avolon,Privately Held,201-500,2010,Financial Services,more than 1000,"Aircraft Leasing,Aircraft Lease Management,Aircraft Asset Management",https://media.licdn.com/dms/image/C4D0BAQEF65jkScmd0Q/company-logo_200_200/0?e=2132524800&v=beta&t=QcQ_dPloVisUJIMWEPGGU65l6SZ3C86U-rrTF1g0PTA,www.avolon.aero,Financial
