name,companyType,employeeCountRange,foundedYear,industries,numFollowers,specialties,squareLogoUrl,websiteUrl,group
Accenture,Public Company,10001+,1989,Information Technology & Services,more than 1000,"Management Consulting,Systems Integration and Technology,Business Process Outsourcing,Application and Infrastructure Outsourcing",https://media.licdn.com/dms/image/C4E0BAQE_tMd_dRgIzQ/company-logo_200_200/0?e=2132524800&v=beta&t=tx3ymKfhnDqU_WU8yYCfyrbXNKnej9PlJXMKuNqL3nk,http://www.accenture.com,IT
Web Summit,Privately Held,51-200,2010,Information Technology & Services,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4D0BAQHuQzCB1uO42Q/company-logo_200_200/0?e=2132524800&v=beta&t=V9Wbn3dOmF7kTOd16_aG2LNLUJTzqCmPq4tGNOWE1m8,https://websummit.com/careers,IT
GemPool Recruitment,Privately Held,11-50,2011,Information Technology & Services,more than 1000,"UX/UI specialists, HTML, CSS, Ruby on Rails, Java, C++, Automated Testing, Cloud, Mobile & .Net,IT Permanent Placements,Development, Testing, Infrastructure, Commercial,Telecoms, Internet, Cloud, Web, Commercial,IT Contractors",https://media.licdn.com/dms/image/C560BAQGLAXqwzSw85A/company-logo_200_200/0?e=2132524800&v=beta&t=p8NMnmlKfZVlg4DnMc8taq-_1Z4DniawMdRLVodpntM,http://www.gempool.ie/,IT
ION,Privately Held,1001-5000,1998,Computer Software,more than 1000,"Financial Institutions,Corporations,Governments & Central Banks",https://media.licdn.com/dms/image/C4D0BAQGtrA_IbGTXeA/company-logo_200_200/0?e=2132524800&v=beta&t=_uOBoBmQUlSbZaSVHDADw16MxRIS36QGviLPRTWtwb8,iongroup.com,IT
Ergo,Privately Held,201-500,1993,Information Technology & Services,more than 1000,"IT Managed Services,IT Maintenance & Support,Cloud Solutions,IT Consulting,Microsoft Solutions,IT Infrastructure,Microsoft System Center,Microsoft SQL Data Services,Microsoft SharePoint,Microsoft Dynamics 365,Managed Print Services,IT Resourcing,Power BI,Digital Workplace,GDPR ,IT Security,Digital Transformation,Office 365,Digital Application Platform,Mobile App",https://media.licdn.com/dms/image/C560BAQHaEWQAMjp3Bw/company-logo_200_200/0?e=2132524800&v=beta&t=hbAJ_d7bbGudD2ZfZDBhW3B9Ut1e43mMUfjkeTmXDlI,www.ergogroup.ie,IT
Connector,Privately Held,11-50,2010,Information Technology & Services,more than 1000,"Product Design,Digital Marketing,Experiential Marketing,Training & Education,Influencer Marketing,innovation,Team Building,Design Thinking,Employee Engagement,Education / Workshops,Digital Transformation,Strategy,Organisational Design,Customer Experience",https://media.licdn.com/dms/image/C560BAQGBdXtOayCpxw/company-logo_200_200/0?e=2132524800&v=beta&t=dlCY3bFwDS7zooMSMOmEMYi3KgAguAoXH-Vr6_vu3aM,www.connector.ie,IT
New Horizons Ireland,Privately Held,11-50,2003,Information Technology & Services,more than 1000,"Microsoft courses,Cisco,CompTIA courses,MCSE,MCSA,ICND1 Certification,ICND2 Certification,IT training,MCSA Certification,IT Certification,Microsoft Tech Training,Cisco Courses,Microsoft Office Courses,MCITP Course,Excel and Office training,Windows training,office 365,Adobe Courses,Leadership,PMI",https://media.licdn.com/dms/image/C4E0BAQFEFKo9-JUSjw/company-logo_200_200/0?e=2132524800&v=beta&t=e7PGL0wA25uRQSkGA5AURbA8hU0kAOCD1-DyxgmE_dc,https://www.nhireland.ie,IT
Version 1,Privately Held,1001-5000,1996,Information Technology & Services,more than 1000,"Oracle Technologies,Microsoft Technologies,Amazon Web Services,Enterprise Architecture,Project & Programme Management,Business Intelligence,Application Development,Managed Services,Cloud Integration,License Management,Cloud ",https://media.licdn.com/dms/image/C4D0BAQHVwIOAyHAEsQ/company-logo_200_200/0?e=2132524800&v=beta&t=25h-IHWeOmj43PofnXhZozLFy0ngLPDDJWL2m0IhH3E,www.version1.com,IT
GDPR Awareness Coalition,Non Profit,2-10,2017,Computer & Network Security,more than 1000,"gdpr,compliance,security,data protection,governance,security,data soverignty",https://media.licdn.com/dms/image/C560BAQEN_6P3JlcEgQ/company-logo_200_200/0?e=2132524800&v=beta&t=FjGcHmAxFKZvnu0kIKKsyE7ql5z1w4F60pmukXW0azU,http://www.gdprcoalition.ie,IT
Lab49,Privately Held,201-500,2002,Computer Software,more than 1000,"software,financial services,trading systems",https://media.licdn.com/dms/image/C4D0BAQEXD9fFdLq8oA/company-logo_200_200/0?e=2132524800&v=beta&t=J1ECTpI6aDeE8kE8fMiWGiS3YNyVkgO1l9x0AykAkgo,http://www.lab49.com,IT
CoreHR,Privately Held,201-500,Undisclosed,Computer Software,more than 1000,"HR Software,Payroll,People Management,Recruitment,Time & Attendance,Talent Management,Expense Management,Self Service,Rostering,Cloud,Disaster Recovery",https://media.licdn.com/dms/image/C4D0BAQHMxPxLCzUFhA/company-logo_200_200/0?e=2132524800&v=beta&t=TJ4nbC3vkAMSXYVpwAd9yJx7RDZoTmvObxp0T-59QUM,www.corehr.com,IT
Travelport Digital,Privately Held,201-500,2005,Computer Software,more than 1000,"Multi-Channel Apps,‘Day of Travel’ Mobile Services,Responsive Web,Mobile Push Messaging,End Traveller Engagement",https://media.licdn.com/dms/image/C4D0BAQECCh4izmsNmA/company-logo_200_200/0?e=2132524800&v=beta&t=2Y2_pAM99lHyAGbgvBYpmL8Q040GuxkTPty95dRP518,http://www.digital.travelport.com,IT
CarTrawler,Privately Held,201-500,2004,Computer Software,more than 1000,"Global Ground Transportation Distribution,Travel technology,Data Science,Conversion optimization",https://media.licdn.com/dms/image/C4E0BAQE398c13BPicQ/company-logo_200_200/0?e=2132524800&v=beta&t=DglKcNsOhZ6vfi7Bp9dtdVKwTyHmE4HRFAWRXvTMJjw,http://www.cartrawler.com,IT
IT Search and Selection,Privately Held,2-10,2015,Information Technology & Services,more than 1000,"IT Recruitment,Permanent Recruitment,Contract Recruitment,Contingent  Recruitment,C-level and Senior Management,Technical Recruitment,International Recruitment,Talent Acquisition,Salary Advice,Career Advice,Career Coaching,Salary Benchmarking,Data Analytics Recruitment ",https://media.licdn.com/dms/image/C4E0BAQE9Fe4az5LoWg/company-logo_200_200/0?e=2132524800&v=beta&t=k4BLZgAGdeCo7oiVy9q8FFvGApo3D4ajHRnE3Dwvmp0,www.itsearch.ie,IT
Keywords Studios,Public Company,1001-5000,1998,Computer Games,more than 1000,"Art Services,Engineering,Audio Services,Functionality QA,Localization,Localization QA,Player Support",https://media.licdn.com/dms/image/C4D0BAQGtgqJBjLnEPA/company-logo_200_200/0?e=2132524800&v=beta&t=FeQ73svFVRMVMH-zwjDdg0eQ4mUSZbG2IJkN4Mg6kdE,www.keywordsstudios.com,IT
I.T. Alliance Group,Privately Held,201-500,1997,Information Technology & Services,more than 1000,"Project Management,Collaboration & Integration including Cloud Computing (.NET, SharePoint, Azure, SQL),IT Infrastructure,IT Service Management,IT Testing,IT Resource Management",https://media.licdn.com/dms/image/C510BAQG-USm-cAoo8Q/company-logo_200_200/0?e=2132524800&v=beta&t=HS6rgDwcgsEsx_Z5syo8DIYFrTDZDNPz-0WX6DqFnOc,www.italliancegroup.com,IT
Compliance and Risks,Privately Held,51-200,2002,Information Services,more than 1000,"Regulatory Email Alerts,Global Regulatory Database,Tool to assess the impact of regulatory changes,Market Access,Regulatory News and Analysis from around the world,Reports on Limits & Targets,Key Dates & Deadlines,Ask Our Experts,EHS / OHS Legal Register",https://media.licdn.com/dms/image/C4E0BAQEU-CL8ncOf-Q/company-logo_200_200/0?e=2132524800&v=beta&t=yY4Cea49UFqa5u_lZ-PwYVoio32iwx1YIwL3noO6pj0,http://www.complianceandrisks.com,IT
Demonware,Public Company,51-200,2005,Computer Games,more than 1000,Not Specified,https://media.licdn.com/dms/image/C560BAQGEWx_a-EM63w/company-logo_200_200/0?e=2132524800&v=beta&t=F2s1a8Q09lq7VTbrqHjdKcxck7yAOa4TDMTDnjTxRwM,http://www.demonware.net,IT
SureSkills ,Privately Held,51-200,1993,Information Technology & Services,more than 1000,"Training and Certification,eLearning Development,Technical IT Training,Office Excel Word,ITIL,PRINCE2,VMware,Online & Digital Marketing Training,Consulting Services,Learning Services,LMS Saba Support,Service Management,AWS (Amazon Web Services),Microsoft,GDPR,IT Recruitment",https://media.licdn.com/dms/image/C4D0BAQEhEpEyZ1vb1w/company-logo_200_200/0?e=2132524800&v=beta&t=S9Go3jux15SFe35Hx9CUa_fmLqoeml3z7Sw9mg6cnBc,www.sureskills.com,IT
Codec Ireland,Privately Held,201-500,1985,Information Technology & Services,more than 1000,"IT Infrastructure support and provision,Cloud,Sharepoint,Hyperion,ERP,CRM,IT Resourcing,EPM,Microsoft Gold Partner,Infrastructure Solutions,Engineered Systems,BI,CSP,Microsoft Country Partner of the Year 2018 Ireland,HR / Talent Management Software,IOT,Teams,Cybersecurity,IT Strategy,DevOps,Licensing,EPM,Skype for Business",https://media.licdn.com/dms/image/C4E0BAQF6KoHl2aKp4g/company-logo_200_200/0?e=2132524800&v=beta&t=x89NE8-w-wJyGnGZ50noXGJD9_xdkZjBCpoKDn9XQvw,http://www.codec.ie,IT
Zartis,Privately Held,11-50,2009,Internet,more than 1000,"recruitment,hiring,sourcing,talent mobility,jobs,applicant tracking,talent marketplace,extended development teams",https://media.licdn.com/dms/image/C560BAQFAzrB5V66YZQ/company-logo_200_200/0?e=2132524800&v=beta&t=Yc7jCQSc6_b-62gAEW2dIMup6VyH9o0cy3aBT1uKYGY,www.zartis.com,IT
Webtures A.Ş.,Privately Held,51-200,2011,Internet,more than 1000,"SEO,Digital Marketing,Social Media Marketing",https://media.licdn.com/dms/image/C4D0BAQHk1AMZSSvgUQ/company-logo_200_200/0?e=2132524800&v=beta&t=zbVhDe6s5XSfagUvYQMuITPfFFclsBnN-XgziCxtDRE,www.webtures.com.tr,IT
FINEOS,Privately Held,501-1000,1993,Computer Software,more than 1000,insurance software,https://media.licdn.com/dms/image/C560BAQGO7tCTRLMYtw/company-logo_200_200/0?e=2132524800&v=beta&t=VWPq6z5gcRdzVUZ6nvhk0IXlNH3VrPc8b-sIlJcsocY,http://www.FINEOS.com,IT
